REF_ID,author,year,journal,pages,DOI,reference
Daniel_1996_sbb_p1325-1240,Daniel,1996,sbb,p1325-1240,10.1016/0038-0717(96)00121-6,"Daniel, O., L. Kohli, and M. Bieri. 1996. Weight gain and weight loss of the earthworm Lumbricus terrestris L. at different temperatures and body weights. Soil Biology & Biochemistry 28:1235-1240."
Di.Masso_1997_mega_p105-112,Di.Masso,1997,mega,p105-112,na,"Di Masso, R. J., L. B. Marc, and N. R. Biasatti. 1997. Earthworm [eisenia foetida (Savigny)] growth in coypu and other animal faeces as nutritional substrata. Megadrilogica 6:105-112."
Dominguez_1997_pedo_p566-576,Dominguez,1997,pedo,p566-576,na,"Dominguez, J., M. J. I. Briones, and S. Mato. 1997. Effect of the diet on growth and reproduction of Eisenia andrei (Oligochaeta, Lumbricideae). Pedobiologia 41:566-576."
Dominguez_1997_sbb_p743-746,Dominguez,1997,sbb,p743-746,10.1016/s0038-0717(96)00276-3,"Dominguez, J. and C. A. Edwards. 1997. Effects of stocking rate and moisture content on the growth and maturation of Eisenia andrei (Oligochaeta) in pig manure. Soil Biology & Biochemistry 29:743-746."
Dominguez_2000_pedo_p24-32,Dominguez,2000,pedo,p24-32,10.1078/s0031-4056(04)70025-6,"Domínguez, J., C. A. Edwards, and M. Webster. 2000. Vermicomposting of sewage sludge: Effect of bulking materials on the growth and reproduction of the earthworm Eisenia andrei. Pedobiologia 44:24-32."
Dominguez_2001_pedo_p341-353,Dominguez,2001,pedo,p341-353,10.1078/0031-4056-00091,"Dominguez, J., C. A. Edwards, and J. Dominguez. 2001. The biology and population dynamics of Eudrilus eugeniae (Kinberg) (Oligochaeta) in cattle waste solids. Pedobiologia 45:341-353."
Edwards_1988_in_ewem_p21-31,Edwards,1988,in_ewem,p21-31,na,"Edwards, C. A. 1988. Breakdown of animal, vegetable and industrial organic wastes by earthworms. Pages 21-31 in C. A. Edwards, editor. Earthworsm in waste and environmental management. SPB Academic Publishing, The Hague, The Netherlands."
Elvira_1996_ase_p97-103,Elvira,1996,ase,p97-103,10.1016/s0929-1393(96)00120-5,"Elvira, C., J. Dominguez, and S. Mato. 1996. The growth and reproduction of Lumbricus rubellus and Dendrobaena rubida in cow manure Mixed cultures with Eisenia andrei. Applied Soil Ecology 5:97-103."
Fayolle_1997_sbb_p747-750,Fayolle,1997,sbb,p747-750,10.1016/s0038-0717(96)00023-5,"Fayolle, L., H. Michaud, D. Cluzeau, and J. Stawiecki. 1997. Influence of temperature and food source on the life cycle of the earthworm Dendrobaena veneta (Oligochaeta). Soil Biology & Biochemistry 29:747-750."
Fernandez_2010_pedo_p295-299,Fernandez,2010,pedo,p295-299,10.1016/j.pedobi.2010.01.003,"Fernandez, R., M. Novo, M. Gutiérrez, and D. J. D. Cosin. 2010. Life cycle and reproductive traits of the earthworm Aporrectodea trapezoides (Dugès, 1828) in laboratory cultures Pedobiologia 53:295-299."
Fernandez.Gomez_2011_jhm_p1886-1889,Fernandez.Gomez,2011,jhm,p1886-1889,10.1016/j.jhazmat.2011.06.077,"Fernandez-Gomez, M. J., E. Romero, and R. Nogales. 2011. Impact of imidacloprid residues on the development of Eisenia fetida during vermicomposting of greenhouse plant waste. J Hazard Mater 192:1886-1889."
Fischer_1997_sbb_p667-670,Fischer,1997,sbb,p667-670,10.1016/s0038-0717(96)00193-9,"Fischer, E. and L. Molnar. 1997. Growth and reproduction of Eisenia fetida (Oligochaeta, Lumbricidae) in semi-natural soil containing various metal chlorides. Soil Biology & Biochemistry 29:667-670."
Fisker_2011_ecot_p563-573,Fisker,2011,ecot,p563-573,10.1007/s10646-011-0610-8,"Fisker, K., J. Sørensen, C. Damgaard, K. Pedersen, and M. Holmstrup. 2011. Genetic adaptation of earthworms to copper pollution: is adaptation associated with fitness costs in Dendrobaena octaedra? Ecotoxicology 20:563-573."
Flack_1984_sbb_p491-495,Flack,1984,sbb,p491-495,10.1016/0038-0717(84)90057-9,"Flack, F. M. and R. Hartenstein. 1984. Growth of the earthworm Eisenia foetida on microorganisms and cellulose. Soil Biology & Biochemistry 16:491-495."
Frenot_1992_sbb_p1433-1439,Frenot,1992,sbb,p1433-1439,10.1016/0038-0717(92)90129-l,"Frenot, Y. 1992. Introduced populations of Dendrodrilus rubidus ssp. (Oligochaeta : Lumbicidae) at Crozet, Kerguelen and Amsterdam islands : effects of temperature on growth patterns during the juvenile stages. Soil Biology & Biochemistry 24:1433-1439."
